,Id,ENTIDAD,ANIO,0_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
0,1,Aguascalientes,2010,10269.0,2010
1,2,Baja California,2010,16284.0,4116
2,3,Baja California Sur,2010,7933.0,1680
3,4,Campeche,2010,13553.0,3160
4,5,Chiapas,2010,100782.0,21572
5,6,Chihuahua,2010,27050.0,5858
8,7,Ciudad De Mexico,2010,7348.0,2116
6,8,Coahuila,2010,13897.0,4144
7,9,Colima,2010,12307.0,3086
9,10,Durango,2010,21221.0,5750
10,11,Guanajuato,2010,62816.0,13242
11,12,Guerrero,2010,100813.0,23830
12,13,Hidalgo,2010,48305.0,14000
13,14,Jalisco,2010,66270.0,18066
14,15,Mexico,2010,109398.0,25938
15,16,Michoacan,2010,47823.0,12576
16,17,Morelos,2010,22530.0,5146
17,18,Nayarit,2010,23915.0,5732
18,19,Nuevo Leon,2010,33306.0,9864
19,20,Oaxaca,2010,64794.0,17172
20,21,Puebla,2010,60725.0,14960
21,22,Queretaro,2010,29974.0,5366
22,23,Quintana Roo,2010,16303.0,4130
23,24,San Luis Potosi,2010,36305.0,7032
24,25,Sinaloa,2010,30507.0,5888
25,26,Sonora,2010,28024.0,5812
26,27,Tabasco,2010,44920.0,13786
27,28,Tamaulipas,2010,24128.0,6838
28,29,Tlaxcala,2010,14669.0,4162
29,30,Veracruz,2010,99438.0,18780
30,31,Yucatan,2010,21900.0,4042
31,32,Zacatecas,2010,22669.0,5370
0,1,Aguascalientes,2011,10181.0,2032
1,2,Baja California,2011,17809.0,4156
2,3,Baja California Sur,2011,7327.0,1702
3,4,Campeche,2011,13676.0,3226
4,5,Chiapas,2011,112394.0,22746
5,6,Chihuahua,2011,27314.0,5948
8,7,Ciudad De Mexico,2011,7883.0,2168
6,8,Coahuila,2011,14226.0,4276
7,9,Colima,2011,14271.0,3146
9,10,Durango,2011,21171.0,5908
10,11,Guanajuato,2011,60634.0,13320
11,12,Guerrero,2011,101865.0,24140
12,13,Hidalgo,2011,48468.0,14246
13,14,Jalisco,2011,66476.0,18282
14,15,Mexico,2011,110955.0,25812
15,16,Michoacan,2011,48615.0,12498
16,17,Morelos,2011,21837.0,5230
17,18,Nayarit,2011,23577.0,5750
18,19,Nuevo Leon,2011,33240.0,9818
19,20,Oaxaca,2011,65458.0,17238
20,21,Puebla,2011,63116.0,15374
21,22,Queretaro,2011,31944.0,5718
22,23,Quintana Roo,2011,16580.0,4246
23,24,San Luis Potosi,2011,34365.0,7068
24,25,Sinaloa,2011,36035.0,6086
25,26,Sonora,2011,25845.0,5832
26,27,Tabasco,2011,44930.0,13840
27,28,Tamaulipas,2011,26393.0,7098
28,29,Tlaxcala,2011,15132.0,4152
29,30,Veracruz,2011,94303.0,18662
30,31,Yucatan,2011,24085.0,4070
31,32,Zacatecas,2011,22139.0,5406
0,1,Aguascalientes,2012,10150.0,2050
1,2,Baja California,2012,18819.0,4160
2,3,Baja California Sur,2012,6892.0,1702
3,4,Campeche,2012,13567.0,3232
4,5,Chiapas,2012,114060.0,23542
5,6,Chihuahua,2012,26028.0,5922
8,7,Ciudad De Mexico,2012,10030.0,2724
6,8,Coahuila,2012,13913.0,4264
7,9,Colima,2012,14436.0,3174
9,10,Durango,2012,20617.0,5958
10,11,Guanajuato,2012,60121.0,13382
11,12,Guerrero,2012,103166.0,24364
12,13,Hidalgo,2012,49613.0,14602
13,14,Jalisco,2012,66103.0,18310
14,15,Mexico,2012,114438.0,26404
15,16,Michoacan,2012,49555.0,12676
16,17,Morelos,2012,22196.0,5254
17,18,Nayarit,2012,22653.0,5546
18,19,Nuevo Leon,2012,33687.0,9918
19,20,Oaxaca,2012,64679.0,17294
20,21,Puebla,2012,65264.0,15588
21,22,Queretaro,2012,34088.0,5886
22,23,Quintana Roo,2012,17053.0,4286
23,24,San Luis Potosi,2012,34261.0,7080
24,25,Sinaloa,2012,35445.0,6226
25,26,Sonora,2012,25715.0,5856
26,27,Tabasco,2012,44781.0,13902
27,28,Tamaulipas,2012,28811.0,7564
28,29,Tlaxcala,2012,15594.0,4148
29,30,Veracruz,2012,92998.0,19152
30,31,Yucatan,2012,19950.0,4062
0,1,Aguascalientes,2013,14328.0,2070
1,2,Baja California,2013,22627.0,4226
2,3,Baja California Sur,2013,9057.0,1688
3,4,Campeche,2013,16310.0,3230
4,5,Chiapas,2013,154478.0,23878
5,6,Chihuahua,2013,33607.0,5948
8,7,Ciudad De Mexico,2013,14117.0,3240
6,8,Coahuila,2013,14622.0,4126
7,9,Colima,2013,19315.0,3146
9,10,Durango,2013,23512.0,5856
10,11,Guanajuato,2013,77155.0,13416
11,12,Guerrero,2013,132297.0,24374
12,13,Hidalgo,2013,57092.0,14586
13,14,Jalisco,2013,75040.0,18388
14,15,Mexico,2013,136929.0,26754
15,16,Michoacan,2013,62197.0,12706
16,17,Morelos,2013,29248.0,5272
17,18,Nayarit,2013,28529.0,5554
18,19,Nuevo Leon,2013,38071.0,10034
19,20,Oaxaca,2013,80880.0,17582
20,21,Puebla,2013,84505.0,15726
21,22,Queretaro,2013,51853.0,5904
22,23,Quintana Roo,2013,21951.0,4396
23,24,San Luis Potosi,2013,49267.0,7108
24,25,Sinaloa,2013,42352.0,6134
25,26,Sonora,2013,32919.0,5802
26,27,Tabasco,2013,48795.0,13962
27,28,Tamaulipas,2013,36286.0,7792
28,29,Tlaxcala,2013,20220.0,4178
29,30,Veracruz,2013,119822.0,19224
30,31,Yucatan,2013,25707.0,4028
31,32,Zacatecas,2013,26323.0,5424
0,1,Aguascalientes,2014,8189.0,2204
1,2,Baja California,2014,10568.0,4158
2,3,Baja California Sur,2014,4845.0,1720
3,4,Campeche,2014,9348.0,3212
4,5,Chiapas,2014,94680.0,24278
5,6,Chihuahua,2014,18405.0,6106
8,7,Ciudad De Mexico,2014,8495.0,3538
6,8,Coahuila,2014,4660.0,4174
7,9,Colima,2014,10565.0,3138
9,10,Durango,2014,8716.0,5698
10,11,Guanajuato,2014,42431.0,13438
11,12,Guerrero,2014,65956.0,24604
12,13,Hidalgo,2014,20714.0,14204
13,14,Jalisco,2014,26430.0,18338
14,15,Mexico,2014,65770.0,26062
15,16,Michoacan,2014,27950.0,12662
16,17,Morelos,2014,13709.0,5252
17,18,Nayarit,2014,14538.0,5816
18,19,Nuevo Leon,2014,14936.0,10410
19,20,Oaxaca,2014,36302.0,17920
20,21,Puebla,2014,45128.0,15840
21,22,Queretaro,2014,38405.0,6032
22,23,Quintana Roo,2014,10038.0,4372
23,24,San Luis Potosi,2014,31886.0,6972
24,25,Sinaloa,2014,27058.0,6242
25,26,Sonora,2014,18211.0,6074
26,27,Tabasco,2014,13537.0,13968
27,28,Tamaulipas,2014,16316.0,7898
28,29,Tlaxcala,2014,9588.0,4158
29,30,Veracruz,2014,73790.0,18888
30,31,Yucatan,2014,17445.0,4012
31,32,Zacatecas,2014,12783.0,5428
0,1,Aguascalientes,2015,6462.0,2206
1,2,Baja California,2015,8243.0,4100
2,3,Baja California Sur,2015,3591.0,1704
3,4,Campeche,2015,9540.0,3206
4,5,Chiapas,2015,92311.0,24366
5,6,Chihuahua,2015,16703.0,6124
8,7,Ciudad De Mexico,2015,10089.0,3780
6,8,Coahuila,2015,5329.0,4208
7,9,Colima,2015,9742.0,3140
9,10,Durango,2015,8000.0,5726
10,11,Guanajuato,2015,36275.0,13400
11,12,Guerrero,2015,60147.0,24576
12,13,Hidalgo,2015,19970.0,14224
13,14,Jalisco,2015,24209.0,18318
14,15,Mexico,2015,64634.0,26626
15,16,Michoacan,2015,24416.0,12638
16,17,Morelos,2015,12253.0,5268
17,18,Nayarit,2015,12055.0,5842
18,19,Nuevo Leon,2015,15440.0,10404
19,20,Oaxaca,2015,32625.0,17012
20,21,Puebla,2015,42433.0,16242
21,22,Queretaro,2015,35567.0,6070
22,23,Quintana Roo,2015,9672.0,4436
23,24,San Luis Potosi,2015,26571.0,7066
24,25,Sinaloa,2015,18014.0,6252
25,26,Sonora,2015,16903.0,6184
26,27,Tabasco,2015,13511.0,13970
27,28,Tamaulipas,2015,14540.0,7940
28,29,Tlaxcala,2015,12238.0,4260
29,30,Veracruz,2015,19607.0,7030
30,31,Yucatan,2015,17848.0,4020
31,32,Zacatecas,2015,12703.0,5476
0,1,Aguascalientes,2016,21154.0,2176
1,2,Baja California,2016,39750.0,4084
2,3,Baja California Sur,2016,16373.0,1724
3,4,Campeche,2016,31120.0,3252
4,5,Chiapas,2016,234619.0,23014
5,6,Chihuahua,2016,58516.0,6118
8,7,Ciudad De Mexico,2016,36298.0,3592
6,8,Coahuila,2016,39246.0,4306
7,9,Colima,2016,30060.0,3138
9,10,Durango,2016,52932.0,5724
10,11,Guanajuato,2016,126213.0,13404
11,12,Guerrero,2016,239677.0,24884
12,13,Hidalgo,2016,135009.0,14172
13,14,Jalisco,2016,168039.0,18308
14,15,Mexico,2016,258783.0,26676
15,16,Michoacan,2016,116250.0,12504
16,17,Morelos,2016,49731.0,5270
17,18,Nayarit,2016,54780.0,5788
18,19,Nuevo Leon,2016,96735.0,10336
19,20,Oaxaca,2016,156932.0,16644
20,21,Puebla,2016,154556.0,16274
21,22,Queretaro,2016,63716.0,6068
22,23,Quintana Roo,2016,42006.0,4462
23,24,San Luis Potosi,2016,69076.0,7138
24,25,Sinaloa,2016,59806.0,6210
25,26,Sonora,2016,59008.0,6028
26,27,Tabasco,2016,127494.0,13972
27,28,Tamaulipas,2016,75534.0,8006
28,29,Tlaxcala,2016,43511.0,4334
29,30,Veracruz,2016,129552.0,13128
30,31,Yucatan,2016,40881.0,4032
31,32,Zacatecas,2016,53007.0,5520
0,1,Aguascalientes,2017,20536.0,2132
1,2,Baja California,2017,38062.0,3984
2,3,Baja California Sur,2017,16080.0,1718
3,4,Campeche,2017,31205.0,3278
4,5,Chiapas,2017,234630.0,23672
5,6,Chihuahua,2017,56129.0,5948
8,7,Ciudad De Mexico,2017,38714.0,3838
6,8,Coahuila,2017,34374.0,3804
7,9,Colima,2017,30099.0,3134
9,10,Durango,2017,37984.0,4130
10,11,Guanajuato,2017,121778.0,13100
11,12,Guerrero,2017,155585.0,16752
12,13,Hidalgo,2017,128237.0,13850
13,14,Jalisco,2017,149844.0,16442
14,15,Mexico,2017,253905.0,26550
15,16,Michoacan,2017,113601.0,12332
16,17,Morelos,2017,45642.0,4874
17,18,Nayarit,2017,31717.0,3186
18,19,Nuevo Leon,2017,97211.0,10490
19,20,Oaxaca,2017,87155.0,9422
20,21,Puebla,2017,152003.0,16272
21,22,Queretaro,2017,60634.0,6072
22,23,Quintana Roo,2017,41997.0,4468
23,24,San Luis Potosi,2017,68455.0,7166
24,25,Sinaloa,2017,60608.0,6176
25,26,Sonora,2017,57443.0,5904
26,27,Tabasco,2017,123872.0,13574
27,28,Tamaulipas,2017,74433.0,7938
28,29,Tlaxcala,2017,39458.0,3972
29,30,Veracruz,2017,179178.0,18472
30,31,Yucatan,2017,39310.0,4026
31,32,Zacatecas,2017,52840.0,5544
0,1,Aguascalientes,2018,20536.0,2120
1,2,Baja California,2018,37523.0,3948
2,3,Baja California Sur,2018,15346.0,1644
3,4,Campeche,2018,30749.0,3258
4,5,Chiapas,2018,208236.0,21190
5,6,Chihuahua,2018,54480.0,5800
6,7,Ciudad De Mexico,2018,39283.0,3978
7,8,Coahuila,2018,18272.0,2026
8,9,Colima,2018,29266.0,3126
9,10,Durango,2018,41454.0,4562
10,11,Guanajuato,2018,119639.0,12946
11,12,Guerrero,2018,159814.0,17100
12,13,Hidalgo,2018,128520.0,14046
13,14,Jalisco,2018,112625.0,12438
14,15,Mexico,2018,247589.0,26454
15,16,Michoacan,2018,106305.0,11608
16,17,Morelos,2018,27782.0,2964
17,18,Nayarit,2018,34127.0,3720
18,19,Nuevo Leon,2018,94203.0,10258
19,20,Oaxaca,2018,142240.0,15374
20,21,Puebla,2018,152069.0,16320
21,22,Queretaro,2018,59751.0,6068
22,23,Quintana Roo,2018,42124.0,4490
23,24,San Luis Potosi,2018,67518.0,7170
24,25,Sinaloa,2018,62499.0,6140
25,26,Sonora,2018,50009.0,5138
26,27,Tabasco,2018,122670.0,13356
27,28,Tamaulipas,2018,71568.0,7634
28,29,Tlaxcala,2018,41591.0,4440
29,30,Veracruz,2018,184124.0,19206
30,31,Yucatan,2018,39868.0,4032
31,32,Zacatecas,2018,52697.0,5618
31,32,Zacatecas,4984,21244.0,5420
